rep,Treatement,Infection,total area,chlorotic area
1,mock,water,2663192,83409
1,mock,water,3466704,111165
1,mock,water,3604993,52202
1,treated,water,3605450,86927
1,treated,water,2323251,46141
1,treated,water,2938431,40150
1,mock,pathogen,3565796,365390
1,mock,pathogen,3036358,308621
1,mock,pathogen,3145316,273057
1,treated,pathogn,3113820,134486
1,treated,pathogen,3296435,272506
1,treated,pathogen,2900551,163151
2,mock,water,3086323,61418
2,mock,water,2932714,43053
2,mock,water,4389281,54660
2,treated,water,2551986,22791
2,treated,water,3199088,16701
2,treated,water,2827940,32978
2,mock,pathogen,2383642,65586
2,mock,pathogen,2922258,80265
2,mock,pathogen,2885750,99624
2,treated,pathogen,2533136,27812
2,treated,pathogen,2807570,39983
2,treated,pathogen,2656129,48081
3,mock,water,4256154,76998
3,mock,water,2480123,51392
3,mock,water,2988388,65478
3,treated,water,3678952,74174
3,treated,water,2401455,58496
3,treated,water,3405497,51621
3,mock,pathogen,3509487,123342
3,mock,pathogen,2217579,217926
3,mock,pathogen,2416968,134863
3,treated,pathogen,3506350,47364
3,treated,pathogen,3289677,54237
3,treated,pathogen,3324250,72053
4,mock,water,1912381,28973
4,mock,water,1490263,24073
4,mock,water,1329052,21212
4,treated,water,1388155,14666
4,treated,water,2124967,31635
4,treated,water,1186987,14741
4,mock,pathogen,1259995,87272
4,mock,pathogen,1034441,54696
4,mock,pathogen,1177668,29367
4,treated,pathogen,1503442,24724
4,treated,pathogen,1063699,15218
4,treated,pathogen,1258514,17465